,support,itemsets
54,0.11432706222865413,"frozenset([u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/networkInterfaces', u'Microsoft.Storage/storageAccounts'])"
55,0.14037626628075253,"frozenset([u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
56,0.28509406657018815,"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/networkInterfaces', u'Microsoft.Storage/storageAccounts'])"
57,0.07091172214182344,"frozenset([u'extensions', u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/networkInterfaces'])"
58,0.07091172214182344,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/availabilitySets'])"
59,0.3589001447178003,"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
60,0.3053545586107091,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Storage/storageAccounts', u'Microsoft.Compute/virtualMachines'])"
61,0.07670043415340087,"frozenset([u'extensions', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
62,0.08393632416787265,"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/availabilitySets', u'Microsoft.Compute/virtualMachines'])"
63,0.07814761215629522,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkSecurityGroups'])"
64,0.19681620839363242,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks'])"
65,0.16642547033285093,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Storage/storageAccounts'])"
66,0.21128798842257598,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Compute/virtualMachines'])"
67,0.07380607814761216,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/virtualNetworks'])"
68,0.07525325615050651,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Compute/virtualMachines'])"
69,0.15629522431259044,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/virtualNetworks', u'Microsoft.Storage/storageAccounts'])"
70,0.1939218523878437,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])"
71,0.16353111432706222,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Compute/virtualMachines', u'Microsoft.Storage/storageAccounts'])"
72,0.14327062228654125,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/networkSecurityGroups'])"
73,0.11577424023154848,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Storage/storageAccounts'])"
74,0.14037626628075253,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Compute/virtualMachines'])"
75,0.09406657018813314,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/loadBalancers'])"
