,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset([1, 11, 5])",frozenset([9]),0.3589001447178003,0.09696092619392185,0.07091172214182344,0.1975806451612903,2.0377347135291286,0.036112431698852934,1.1253954286628511
1,"frozenset([1, 11, 9])",frozenset([5]),0.08393632416787265,0.48191027496382055,0.07091172214182344,0.8448275862068965,1.7530806668737702,0.03046194508263155,3.3388004502331547
2,"frozenset([1, 5, 9])",frozenset([11]),0.07091172214182344,0.40520984081041966,0.07091172214182344,1.0,2.467857142857143,0.04217759450114245,inf
3,"frozenset([9, 11, 5])",frozenset([1]),0.07091172214182344,0.4341534008683068,0.07091172214182344,1.0,2.3033333333333332,0.04012515681252238,inf
4,"frozenset([1, 11])","frozenset([9, 5])",0.40520984081041966,0.07091172214182344,0.07091172214182344,0.175,2.467857142857143,0.04217759450114245,1.1261676095250626
5,"frozenset([1, 5])","frozenset([9, 11])",0.3704775687409551,0.08393632416787265,0.07091172214182344,0.19140625,2.2803744612068964,0.039815196835057305,1.1329096667295875
6,"frozenset([1, 9])","frozenset([11, 5])",0.09406657018813314,0.3589001447178003,0.07091172214182344,0.7538461538461538,2.1004342431761787,0.03715121648819534,2.6044681620839363
7,"frozenset([11, 5])","frozenset([1, 9])",0.3589001447178003,0.09406657018813314,0.07091172214182344,0.1975806451612903,2.1004342431761787,0.03715121648819534,1.1290024652931807
8,"frozenset([9, 11])","frozenset([1, 5])",0.08393632416787265,0.3704775687409551,0.07091172214182344,0.8448275862068965,2.2803744612068964,0.039815196835057305,4.056922334780509
9,"frozenset([9, 5])","frozenset([1, 11])",0.07091172214182344,0.40520984081041966,0.07091172214182344,1.0,2.467857142857143,0.04217759450114245,inf
10,frozenset([1]),"frozenset([9, 11, 5])",0.4341534008683068,0.07091172214182344,0.07091172214182344,0.16333333333333333,2.3033333333333337,0.04012515681252238,1.1104640771213266
11,frozenset([11]),"frozenset([1, 5, 9])",0.40520984081041966,0.07091172214182344,0.07091172214182344,0.175,2.467857142857143,0.04217759450114245,1.1261676095250626
12,frozenset([5]),"frozenset([1, 11, 9])",0.48191027496382055,0.08393632416787265,0.07091172214182344,0.14714714714714713,1.7530806668737702,0.03046194508263155,1.0741169156764028
13,frozenset([9]),"frozenset([1, 11, 5])",0.09696092619392185,0.3589001447178003,0.07091172214182344,0.7313432835820894,2.037734713529128,0.036112431698852934,2.3863161279948533
14,"frozenset([11, 12, 5])",frozenset([7]),0.1939218523878437,0.39363241678726485,0.15195369030390737,0.7835820895522387,1.990644205443371,0.07561976288061723,2.801836418982982
15,"frozenset([11, 12, 7])",frozenset([5]),0.16353111432706222,0.48191027496382055,0.15195369030390737,0.9292035398230089,1.9281671051582556,0.07314636603341285,7.318017366136035
16,"frozenset([11, 5, 7])",frozenset([12]),0.2793053545586107,0.2503617945007236,0.15195369030390737,0.544041450777202,2.1730210548384195,0.08202630052295273,1.6440928825154582
17,"frozenset([12, 5, 7])",frozenset([11]),0.15629522431259044,0.40520984081041966,0.15195369030390737,0.9722222222222222,2.399305555555556,0.08862132734077377,21.41244573082488
18,"frozenset([11, 12])","frozenset([5, 7])",0.2170767004341534,0.3125904486251809,0.15195369030390737,0.7,2.239351851851852,0.08409758712912137,2.2913651712493968
19,"frozenset([11, 5])","frozenset([12, 7])",0.3589001447178003,0.16931982633863965,0.15195369030390737,0.4233870967741935,2.500516956162117,0.0911847801273768,1.4406201613148066
20,"frozenset([11, 7])","frozenset([12, 5])",0.3053545586107091,0.19826338639652677,0.15195369030390737,0.49763033175355453,2.5099456878956654,0.09141306146213148,1.5959096742484233
21,"frozenset([12, 5])","frozenset([11, 7])",0.19826338639652677,0.3053545586107091,0.15195369030390737,0.7664233576642335,2.5099456878956654,0.09141306146213148,2.973950795947901
22,"frozenset([12, 7])","frozenset([11, 5])",0.16931982633863965,0.3589001447178003,0.15195369030390737,0.8974358974358974,2.500516956162117,0.0911847801273768,6.250723589001442
23,"frozenset([5, 7])","frozenset([11, 12])",0.3125904486251809,0.2170767004341534,0.15195369030390737,0.4861111111111111,2.239351851851852,0.08409758712912137,1.5235264207767827
24,frozenset([11]),"frozenset([12, 5, 7])",0.40520984081041966,0.15629522431259044,0.15195369030390737,0.375,2.399305555555556,0.08862132734077377,1.3499276410998553
25,frozenset([12]),"frozenset([11, 5, 7])",0.2503617945007236,0.2793053545586107,0.15195369030390737,0.6069364161849711,2.1730210548384195,0.08202630052295273,1.8335319656082403
26,frozenset([5]),"frozenset([11, 12, 7])",0.48191027496382055,0.16353111432706222,0.15195369030390737,0.3153153153153153,1.9281671051582558,0.07314636603341285,1.2216848198644223
27,frozenset([7]),"frozenset([11, 12, 5])",0.39363241678726485,0.1939218523878437,0.15195369030390737,0.38602941176470584,1.990644205443371,0.07561976288061723,1.3128937494042305
28,"frozenset([1, 2, 11])",frozenset([12]),0.3921852387843705,0.2503617945007236,0.21128798842257598,0.5387453874538746,2.1518674146279033,0.1130997882638262,1.6252156295224314
29,"frozenset([1, 2, 12])",frozenset([11]),0.2141823444283647,0.40520984081041966,0.21128798842257598,0.9864864864864865,2.434507722007722,0.12449919473235585,44.014471780029034
30,"frozenset([1, 11, 12])",frozenset([2]),0.2170767004341534,0.47901591895803186,0.21128798842257598,0.9733333333333334,2.0319436052366564,0.10730479327973261,19.53690303907384
31,"frozenset([2, 11, 12])",frozenset([1]),0.21128798842257598,0.4341534008683068,0.21128798842257598,1.0,2.3033333333333332,0.1195565896862912,inf
32,"frozenset([1, 2])","frozenset([11, 12])",0.402315484804631,0.2170767004341534,0.21128798842257598,0.525179856115108,2.4193285371702644,0.12395467044761992,1.6488839187826165
33,"frozenset([1, 11])","frozenset([2, 12])",0.40520984081041966,0.2141823444283647,0.21128798842257598,0.5214285714285715,2.434507722007722,0.12449919473235585,1.6420070414929695
34,"frozenset([1, 12])","frozenset([2, 11])",0.22286541244573083,0.3921852387843705,0.21128798842257598,0.948051948051948,2.4173575501988784,0.12388346342576982,11.700434153400863
35,"frozenset([2, 11])","frozenset([1, 12])",0.3921852387843705,0.22286541244573083,0.21128798842257598,0.5387453874538746,2.417357550198879,0.12388346342576982,1.684827785817656
36,"frozenset([2, 12])","frozenset([1, 11])",0.2141823444283647,0.40520984081041966,0.21128798842257598,0.9864864864864865,2.434507722007722,0.12449919473235585,44.014471780029034
37,"frozenset([11, 12])","frozenset([1, 2])",0.2170767004341534,0.402315484804631,0.21128798842257598,0.9733333333333334,2.419328537170264,0.12395467044761992,22.41316931982638
38,frozenset([1]),"frozenset([2, 11, 12])",0.4341534008683068,0.21128798842257598,0.21128798842257598,0.4866666666666667,2.3033333333333332,0.1195565896862912,1.5364519706053714
39,frozenset([2]),"frozenset([1, 11, 12])",0.47901591895803186,0.2170767004341534,0.21128798842257598,0.44108761329305135,2.031943605236657,0.10730479327973261,1.4007979035475417
