,support,itemsets
44,0.36324167872648333,"frozenset([1, 2, 5])"
45,0.07525325615050651,"frozenset([1, 2, 6])"
46,0.3053545586107091,"frozenset([1, 2, 7])"
47,0.07814761215629522,"frozenset([1, 2, 9])"
48,0.3921852387843705,"frozenset([1, 2, 11])"
49,0.2141823444283647,"frozenset([1, 2, 12])"
50,0.13603473227206947,"frozenset([1, 3, 5])"
51,0.11432706222865413,"frozenset([1, 3, 7])"
52,0.14037626628075253,"frozenset([3, 1, 11])"
53,0.07814761215629522,"frozenset([1, 3, 12])"
54,0.07091172214182344,"frozenset([1, 5, 6])"
55,0.28509406657018815,"frozenset([1, 5, 7])"
56,0.07091172214182344,"frozenset([1, 5, 9])"
57,0.3589001447178003,"frozenset([1, 11, 5])"
58,0.19826338639652677,"frozenset([1, 12, 5])"
59,0.07670043415340087,"frozenset([1, 11, 6])"
60,0.3053545586107091,"frozenset([1, 11, 7])"
61,0.16931982633863965,"frozenset([1, 12, 7])"
62,0.08393632416787265,"frozenset([1, 11, 9])"
63,0.2170767004341534,"frozenset([1, 11, 12])"
64,0.14327062228654125,"frozenset([2, 3, 5])"
65,0.11577424023154848,"frozenset([2, 3, 7])"
66,0.14037626628075253,"frozenset([3, 2, 11])"
67,0.07814761215629522,"frozenset([2, 3, 12])"
68,0.07091172214182344,"frozenset([2, 5, 6])"
69,0.2937771345875543,"frozenset([2, 5, 7])"
70,0.3545586107091172,"frozenset([2, 11, 5])"
71,0.19681620839363242,"frozenset([2, 12, 5])"
72,0.07525325615050651,"frozenset([2, 11, 6])"
73,0.30101302460202606,"frozenset([2, 11, 7])"
74,0.16642547033285093,"frozenset([2, 12, 7])"
75,0.07814761215629522,"frozenset([9, 2, 11])"
76,0.21128798842257598,"frozenset([2, 11, 12])"
77,0.11432706222865413,"frozenset([3, 5, 7])"
78,0.1316931982633864,"frozenset([3, 11, 5])"
79,0.07380607814761216,"frozenset([3, 12, 5])"
80,0.10998552821997105,"frozenset([3, 11, 7])"
81,0.07525325615050651,"frozenset([3, 11, 12])"
82,0.07091172214182344,"frozenset([11, 5, 6])"
83,0.2793053545586107,"frozenset([11, 5, 7])"
84,0.15629522431259044,"frozenset([12, 5, 7])"
85,0.07091172214182344,"frozenset([9, 11, 5])"
86,0.1939218523878437,"frozenset([11, 12, 5])"
87,0.16353111432706222,"frozenset([11, 12, 7])"
88,0.13603473227206947,"frozenset([1, 2, 3, 5])"
89,0.11432706222865413,"frozenset([1, 2, 3, 7])"
90,0.14037626628075253,"frozenset([3, 1, 2, 11])"
91,0.07814761215629522,"frozenset([1, 2, 3, 12])"
92,0.07091172214182344,"frozenset([1, 2, 5, 6])"
93,0.2821997105643994,"frozenset([1, 2, 5, 7])"
94,0.3545586107091172,"frozenset([1, 2, 11, 5])"
95,0.19681620839363242,"frozenset([1, 2, 12, 5])"
96,0.07525325615050651,"frozenset([1, 2, 11, 6])"
97,0.30101302460202606,"frozenset([1, 2, 11, 7])"
98,0.16642547033285093,"frozenset([1, 2, 12, 7])"
99,0.07814761215629522,"frozenset([1, 2, 11, 9])"
100,0.21128798842257598,"frozenset([1, 2, 11, 12])"
101,0.10709117221418235,"frozenset([1, 3, 5, 7])"
102,0.1316931982633864,"frozenset([3, 1, 11, 5])"
103,0.07380607814761216,"frozenset([1, 3, 12, 5])"
104,0.10998552821997105,"frozenset([3, 1, 11, 7])"
105,0.07525325615050651,"frozenset([3, 1, 11, 12])"
106,0.07091172214182344,"frozenset([1, 11, 5, 6])"
107,0.2793053545586107,"frozenset([1, 11, 5, 7])"
108,0.15629522431259044,"frozenset([1, 12, 5, 7])"
109,0.07091172214182344,"frozenset([1, 11, 5, 9])"
110,0.1939218523878437,"frozenset([1, 11, 12, 5])"
111,0.16353111432706222,"frozenset([1, 11, 12, 7])"
112,0.1085383502170767,"frozenset([2, 3, 5, 7])"
113,0.1316931982633864,"frozenset([3, 2, 11, 5])"
114,0.07380607814761216,"frozenset([2, 3, 12, 5])"
115,0.10998552821997105,"frozenset([3, 2, 11, 7])"
116,0.07525325615050651,"frozenset([3, 2, 11, 12])"
117,0.07091172214182344,"frozenset([2, 11, 5, 6])"
118,0.2778581765557164,"frozenset([2, 11, 5, 7])"
119,0.1548480463096961,"frozenset([2, 12, 5, 7])"
120,0.1939218523878437,"frozenset([2, 11, 12, 5])"
121,0.16353111432706222,"frozenset([2, 11, 12, 7])"
122,0.10274963820549927,"frozenset([3, 11, 5, 7])"
123,0.07091172214182344,"frozenset([3, 11, 12, 5])"
124,0.15195369030390737,"frozenset([11, 12, 5, 7])"
125,0.10709117221418235,"frozenset([1, 2, 3, 5, 7])"
126,0.1316931982633864,"frozenset([3, 1, 2, 11, 5])"
127,0.07380607814761216,"frozenset([1, 2, 3, 12, 5])"
128,0.10998552821997105,"frozenset([3, 1, 2, 11, 7])"
129,0.07525325615050651,"frozenset([3, 1, 2, 11, 12])"
130,0.07091172214182344,"frozenset([1, 2, 11, 5, 6])"
131,0.2778581765557164,"frozenset([1, 2, 11, 5, 7])"
132,0.1548480463096961,"frozenset([1, 2, 12, 5, 7])"
133,0.1939218523878437,"frozenset([1, 2, 11, 12, 5])"
134,0.16353111432706222,"frozenset([1, 2, 11, 12, 7])"
135,0.10274963820549927,"frozenset([3, 1, 11, 5, 7])"
136,0.07091172214182344,"frozenset([3, 1, 11, 12, 5])"
137,0.15195369030390737,"frozenset([1, 11, 12, 5, 7])"
138,0.10274963820549927,"frozenset([3, 2, 11, 5, 7])"
139,0.07091172214182344,"frozenset([3, 2, 11, 12, 5])"
140,0.15195369030390737,"frozenset([2, 11, 12, 5, 7])"
141,0.10274963820549927,"frozenset([1, 2, 3, 5, 7, 11])"
142,0.07091172214182344,"frozenset([1, 2, 3, 5, 11, 12])"
143,0.15195369030390737,"frozenset([1, 2, 5, 7, 11, 12])"
