antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset([u'Microsoft.Compute/virtualMachines']),"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/networkInterfaces'])",0.40520984081042,0.370477568740955,0.3589001447178,0.885714285714286,2.39073660714286,0.208778988064447,5.50832127351665
frozenset([u'Microsoft.Compute/virtualMachines']),frozenset([u'Microsoft.Network/virtualNetworks']),0.40520984081042,0.481910274963821,0.3589001447178,0.885714285714286,1.83792363792364,0.163625358914805,4.53328509406657
"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/networkInterfaces'])",frozenset([u'Microsoft.Compute/virtualMachines']),0.370477568740955,0.40520984081042,0.3589001447178,0.96875,2.39073660714286,0.208778988064447,19.0332850940666
"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])",frozenset([u'Microsoft.Network/networkInterfaces']),0.3589001447178,0.434153400868307,0.3589001447178,1,2.30333333333333,0.20308242631644,inf
frozenset([u'Microsoft.Network/virtualNetworks']),"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])",0.481910274963821,0.392185238784371,0.354558610709117,0.735735735735736,1.87599038152544,0.16556051444979,2.30002631232732
frozenset([u'Microsoft.Network/virtualNetworks']),"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Compute/virtualMachines'])",0.481910274963821,0.392185238784371,0.354558610709117,0.735735735735736,1.87599038152544,0.16556051444979,2.30002631232732
frozenset([u'Microsoft.Network/publicIPAddresses']),"frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])",0.479015918958032,0.3589001447178,0.354558610709117,0.740181268882175,2.06235990644187,0.182639728072949,2.46748897788847
frozenset([u'Microsoft.Network/publicIPAddresses']),"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])",0.479015918958032,0.3589001447178,0.354558610709117,0.740181268882175,2.06235990644187,0.182639728072949,2.46748897788847
"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks'])","frozenset([u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])",0.434153400868307,0.40520984081042,0.354558610709117,0.816666666666667,2.01541666666667,0.178635380255968,3.24430995921589
frozenset([u'Microsoft.Network/networkInterfaces']),"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])",0.434153400868307,0.354558610709117,0.354558610709117,0.816666666666667,2.30333333333333,0.200625784062612,3.52058939613209
