antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset(['README.md']),frozenset(['azuredeploy.json']),0.991440799,0.987161198,0.984308131,0.992805755,1.005717969,0.005596244,1.784593438
"frozenset(['metadata.json', 'azuredeploy.json', 'azuredeploy.parameters.json'])",frozenset(['README.md']),0.987161198,0.991440799,0.984308131,0.997109827,1.005717969,0.005596244,2.961483595
"frozenset(['metadata.json', 'azuredeploy.json', 'README.md'])",frozenset(['azuredeploy.parameters.json']),0.984308131,0.987161198,0.984308131,1,1.01300578,0.012637337,inf
"frozenset(['metadata.json', 'azuredeploy.parameters.json', 'README.md'])",frozenset(['azuredeploy.json']),0.984308131,0.987161198,0.984308131,1,1.01300578,0.012637337,inf
"frozenset(['azuredeploy.json', 'azuredeploy.parameters.json', 'README.md'])",frozenset(['metadata.json']),0.984308131,0.990014265,0.984308131,1,1.010086455,0.00982904,inf
"frozenset(['metadata.json', 'azuredeploy.json'])","frozenset(['azuredeploy.parameters.json', 'README.md'])",0.987161198,0.984308131,0.984308131,0.997109827,1.01300578,0.012637337,5.429386591
"frozenset(['metadata.json', 'azuredeploy.parameters.json'])","frozenset(['azuredeploy.json', 'README.md'])",0.987161198,0.984308131,0.984308131,0.997109827,1.01300578,0.012637337,5.429386591
"frozenset(['metadata.json', 'README.md'])","frozenset(['azuredeploy.json', 'azuredeploy.parameters.json'])",0.987161198,0.987161198,0.984308131,0.997109827,1.010078018,0.0098209,4.442225392
"frozenset(['azuredeploy.json', 'azuredeploy.parameters.json'])","frozenset(['metadata.json', 'README.md'])",0.987161198,0.987161198,0.984308131,0.997109827,1.010078018,0.0098209,4.442225392
"frozenset(['azuredeploy.json', 'README.md'])","frozenset(['metadata.json', 'azuredeploy.parameters.json'])",0.984308131,0.987161198,0.984308131,1,1.01300578,0.012637337,inf
"frozenset(['azuredeploy.parameters.json', 'README.md'])","frozenset(['metadata.json', 'azuredeploy.json'])",0.984308131,0.987161198,0.984308131,1,1.01300578,0.012637337,inf
frozenset(['metadata.json']),"frozenset(['azuredeploy.json', 'azuredeploy.parameters.json', 'README.md'])",0.990014265,0.984308131,0.984308131,0.994236311,1.010086455,0.00982904,2.72253923
frozenset(['azuredeploy.json']),"frozenset(['metadata.json', 'azuredeploy.parameters.json', 'README.md'])",0.987161198,0.984308131,0.984308131,0.997109827,1.01300578,0.012637337,5.429386591
